Nombre,usuario,followers,contenido,menciones,hashtags,likes,veces compartido
Guillermo Lasso,LassoGuillermo,882232,"b'En el #D\xc3\xadaNacionalDelVotoFemeninoEc, conmemoramos a #MatildeHidalgo y su lucha por el derecho al voto de las mujere\xe2\x80\xa6 https://t.co/ssmkOsbkxe'",,DíaNacionalDelVotoFemeninoEc,167,32
Guillermo Lasso,LassoGuillermo,882232,"b'Convers\xc3\xa9 con el Presidente @lopezobrador_, a quien le expres\xc3\xa9 el cari\xc3\xb1o de Ecuador hacia M\xc3\xa9xico. Agradezco su felic\xe2\x80\xa6 https://t.co/d9TPsYsQmk'",lopezobrador_,,500,59
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1El #PlanVacunaci\xc3\xb3n9100 es un gran encuentro por la salud!\n\nAgradecemos a las instituciones educativas que apoyan a\xe2\x80\xa6 https://t.co/dB97x0oBIB',,PlanVacunación9100,162,42
Guillermo Lasso,LassoGuillermo,882232,b'Agradecido y comprometido con el Ecuador del Encuentro. Hoy recib\xc3\xad el Bast\xc3\xb3n de Mando de pueblos y nacionalidades e\xe2\x80\xa6 https://t.co/BE56ES616b',,,882,128
Guillermo Lasso,LassoGuillermo,882232,"b'Si ya fuiste vacunado, puedes registrar la informaci\xc3\xb3n en https://t.co/vHZXkl2T74 y ayudar al avance del\xe2\x80\xa6 https://t.co/qab8wYOxso'",,,360,132
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xbfYa conoces tu centro de vacunaci\xc3\xb3n?\n\n\xc2\xa1Todas las vacunas son seguras! Comparte informaci\xc3\xb3n oficial y lleva a tus se\xe2\x80\xa6 https://t.co/kmLlVP4Wkf',,,324,106
Guillermo Lasso,LassoGuillermo,882232,b'@MarchMonMalo Con el #PlanVacunaci\xc3\xb3n9100 logramos la reactivaci\xc3\xb3n del pa\xc3\xads. \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',MarchMonMalo,PlanVacunación9100,3,1
Guillermo Lasso,LassoGuillermo,882232,b'@AndresMorenoD Trabajamos cada d\xc3\xada para honrar la confianza de los ecuatorianos. El #PlanVacunaci\xc3\xb3n9100 se fortalec\xe2\x80\xa6 https://t.co/NDYAginS3l',AndresMorenoD,PlanVacunación9100,4,2
Guillermo Lasso,LassoGuillermo,882232,b'@xavifernandezv4 \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',xavifernandezv4,,2,1
Guillermo Lasso,LassoGuillermo,882232,b'@tronkitoruiz El #PlanVacunaci\xc3\xb3n9100 nos permitir\xc3\xa1 reactivar al pa\xc3\xads. Nuestro compromiso con la salud de los ecuato\xe2\x80\xa6 https://t.co/HMeM5WnGTI',tronkitoruiz,PlanVacunación9100,5,2
Guillermo Lasso,LassoGuillermo,882232,"b'@jessicaymia Gracias por escribirme, valoro mucho tu mensaje. Un abrazo Jessica. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa'",jessicaymia,,1,1
Guillermo Lasso,LassoGuillermo,882232,b'@PaulAmores4 Juntos lo logramos. \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',PaulAmores4,,4,1
